Order_ID,Order_Date,Ship_Date,Customer_ID,Category,Product,Region,Quantity,Unit_Price,Discount,Revenue,Cost,Profit,Profit_Margin,Shipping_Method,Order_Status
ORD1001,2023-04-15,2023-04-16,CUST0280,Beauty,Moisturizer,North,1,48.66,0.0,48.66,24.07,24.59,50.53,Same-Day,Delivered
ORD1002,2024-09-08,2024-09-13,CUST0367,Books,Self-Help,Central,1,12.39,0.0,12.39,6.15,6.24,50.36,Standard,Delivered
ORD1003,2023-06-13,2023-06-14,CUST0143,Sports,Dumbbell Set,South,4,107.93,0.2,345.38,269.33,76.05,22.02,Same-Day,Delivered
ORD1004,2023-12-19,2023-12-20,CUST0023,Clothing,Jacket,West,1,90.13,0.0,90.13,47.03,43.1,47.82,Same-Day,Delivered
ORD1005,2024-09-25,2024-09-27,CUST0361,Books,Business Book,North,4,13.34,0.0,53.36,32.86,20.5,38.42,Express,Delivered
ORD1006,2023-04-14,2023-04-16,CUST0326,Electronics,Laptop,East,3,1291.61,0.2,3099.86,1924.08,1175.78,37.93,Express,Delivered
ORD1007,2024-11-30,2024-12-01,CUST0326,Clothing,Jacket,South,3,104.14,0.0,312.42,184.44,127.98,40.96,Same-Day,Delivered
ORD1008,2024-10-17,2024-10-18,CUST0351,Books,Novel,East,2,13.62,0.0,27.24,17.65,9.59,35.21,Same-Day,Delivered
ORD1009,2023-08-05,2023-08-06,CUST0162,Electronics,Laptop,South,1,1201.52,0.05,1141.44,605.02,536.42,47.0,Same-Day,Returned
ORD1010,2023-09-29,2023-10-04,CUST0288,Beauty,Perfume,Central,4,118.62,0.15,403.31,257.06,146.25,36.26,Standard,Delivered
ORD1011,2023-05-22,2023-05-23,CUST0387,Home & Kitchen,Cookware Set,North,4,278.56,0.05,1058.53,582.08,476.45,45.01,Same-Day,Delivered
ORD1012,2024-01-30,2024-02-01,CUST0240,Electronics,Laptop,Central,2,1195.04,0.05,2270.58,1360.63,909.95,40.08,Express,Delivered
ORD1013,2024-07-03,2024-07-05,CUST0175,Home & Kitchen,Cookware Set,North,1,235.06,0.0,235.06,137.83,97.23,41.36,Express,Delivered
ORD1014,2023-09-27,2023-09-28,CUST0260,Home & Kitchen,Knife Set,North,2,56.22,0.15,95.57,70.29,25.28,26.45,Same-Day,Delivered
ORD1015,2023-06-15,2023-06-16,CUST0473,Beauty,Lipstick,Central,5,21.18,0.0,105.9,55.57,50.33,47.53,Same-Day,Pending
ORD1016,2023-11-11,2023-11-16,CUST0450,Electronics,Tablet,Central,3,445.58,0.0,1336.74,849.93,486.81,36.42,Standard,Delivered
ORD1017,2023-05-09,2023-05-14,CUST0485,Electronics,Smartphone,Central,4,743.81,0.2,2380.19,1655.84,724.35,30.43,Standard,Delivered
ORD1018,2024-07-06,2024-07-07,CUST0366,Clothing,Jacket,East,5,183.69,0.05,872.53,590.45,282.08,32.33,Same-Day,Delivered
ORD1019,2023-08-19,2023-08-24,CUST0302,Sports,Running Shoes,Central,4,139.97,0.05,531.89,265.5,266.39,50.08,Standard,Delivered
ORD1020,2023-08-23,2023-08-28,CUST0441,Clothing,Sneakers,East,2,59.65,0.15,101.41,68.74,32.67,32.22,Standard,Cancelled
ORD1021,2023-05-16,2023-05-17,CUST0293,Electronics,Tablet,Central,2,382.54,0.05,726.83,377.07,349.76,48.12,Same-Day,Cancelled
ORD1022,2024-11-05,2024-11-07,CUST0211,Sports,Dumbbell Set,West,4,129.75,0.0,519.0,243.34,275.66,53.11,Express,Delivered
ORD1023,2023-04-22,2023-04-27,CUST0275,Beauty,Moisturizer,West,1,21.42,0.15,18.21,11.09,7.12,39.1,Standard,Delivered
ORD1024,2023-03-19,2023-03-21,CUST0439,Clothing,Dress,Central,2,71.28,0.0,142.56,89.09,53.47,37.51,Express,Returned
ORD1025,2023-08-31,2023-09-05,CUST0247,Electronics,Smartphone,South,5,749.81,0.0,3749.05,2381.67,1367.38,36.47,Standard,Delivered
ORD1026,2024-04-10,2024-04-12,CUST0491,Sports,Yoga Mat,Central,2,30.37,0.05,57.7,30.55,27.15,47.05,Express,Delivered
ORD1027,2024-08-16,2024-08-17,CUST0383,Beauty,Perfume,East,2,56.09,0.0,112.18,72.21,39.97,35.63,Same-Day,Delivered
ORD1028,2023-02-28,2023-03-01,CUST0096,Electronics,Smartphone,North,5,642.04,0.2,2568.16,1785.59,782.57,30.47,Same-Day,Delivered
ORD1029,2024-08-31,2024-09-05,CUST0215,Books,Business Book,Central,2,18.86,0.1,33.95,18.83,15.12,44.54,Standard,Delivered
ORD1030,2023-11-18,2023-11-23,CUST0068,Books,Tech Manual,East,3,57.04,0.0,171.12,99.92,71.2,41.61,Standard,Delivered
ORD1031,2023-04-13,2023-04-18,CUST0260,Sports,Running Shoes,East,1,59.84,0.1,53.86,38.88,14.98,27.81,Standard,Delivered
ORD1032,2024-03-24,2024-03-25,CUST0314,Clothing,Jacket,Central,1,184.51,0.0,184.51,93.55,90.96,49.3,Same-Day,Delivered
ORD1033,2023-05-18,2023-05-20,CUST0055,Electronics,Tablet,Central,3,578.53,0.0,1735.59,1106.94,628.65,36.22,Express,Delivered
